"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2 years"	"2"	"2019"	"2019"	"Oct., 2019"	"2019/10"	68	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Nov., 2019"	"2019/11"	58	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Dec., 2019"	"2019/12"	83	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Jan., 2020"	"2020/01"	79	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Feb., 2020"	"2020/02"	88	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Mar., 2020"	"2020/03"	74	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Apr., 2020"	"2020/04"	64	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"May, 2020"	"2020/05"	72	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Jun., 2020"	"2020/06"	84	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Jul., 2020"	"2020/07"	98	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Aug., 2020"	"2020/08"	84	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Sep., 2020"	"2020/09"	72	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Oct., 2020"	"2020/10"	56	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Nov., 2020"	"2020/11"	53	Not Applicable	Not Applicable
	"2 years"	"2"	"2020"	"2020"	"Dec., 2020"	"2020/12"	65	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Jan., 2021"	"2021/01"	69	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Feb., 2021"	"2021/02"	52	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Mar., 2021"	"2021/03"	72	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Apr., 2021"	"2021/04"	84	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"May, 2021"	"2021/05"	81	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Jun., 2021"	"2021/06"	99	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Jul., 2021"	"2021/07"	79	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Aug., 2021"	"2021/08"	92	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Sep., 2021"	"2021/09"	92	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Oct., 2021"	"2021/10"	86	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Nov., 2021"	"2021/11"	68	Not Applicable	Not Applicable
	"2 years"	"2"	"2021"	"2021"	"Dec., 2021"	"2021/12"	86	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	72	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	77	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	90	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	85	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	108	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	95	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	95	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	86	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	82	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	96	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	76	Not Applicable	Not Applicable
	"2 years"	"2"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	84	Not Applicable	Not Applicable
	"2 years"	"2"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	75	Not Applicable	Not Applicable
	"2 years"	"2"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	62	Not Applicable	Not Applicable
	"2 years"	"2"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	40	Not Applicable	Not Applicable
	"2 years"	"2"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Jan., 2018"	"2018/01"	73	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Feb., 2018"	"2018/02"	63	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Mar., 2018"	"2018/03"	62	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Apr., 2018"	"2018/04"	50	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"May, 2018"	"2018/05"	72	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Jun., 2018"	"2018/06"	63	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Jul., 2018"	"2018/07"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Aug., 2018"	"2018/08"	52	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Sep., 2018"	"2018/09"	62	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Oct., 2018"	"2018/10"	56	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Nov., 2018"	"2018/11"	59	Not Applicable	Not Applicable
	"3 years"	"3"	"2018"	"2018"	"Dec., 2018"	"2018/12"	69	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Jan., 2019"	"2019/01"	58	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Feb., 2019"	"2019/02"	55	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Mar., 2019"	"2019/03"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Apr., 2019"	"2019/04"	49	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"May, 2019"	"2019/05"	69	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Jun., 2019"	"2019/06"	69	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Jul., 2019"	"2019/07"	66	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Aug., 2019"	"2019/08"	62	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Sep., 2019"	"2019/09"	48	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Oct., 2019"	"2019/10"	59	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Nov., 2019"	"2019/11"	50	Not Applicable	Not Applicable
	"3 years"	"3"	"2019"	"2019"	"Dec., 2019"	"2019/12"	61	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Jan., 2020"	"2020/01"	61	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Feb., 2020"	"2020/02"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Mar., 2020"	"2020/03"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Apr., 2020"	"2020/04"	50	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"May, 2020"	"2020/05"	77	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Jun., 2020"	"2020/06"	58	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Jul., 2020"	"2020/07"	76	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Aug., 2020"	"2020/08"	51	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Sep., 2020"	"2020/09"	57	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Oct., 2020"	"2020/10"	68	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Nov., 2020"	"2020/11"	48	Not Applicable	Not Applicable
	"3 years"	"3"	"2020"	"2020"	"Dec., 2020"	"2020/12"	51	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Jan., 2021"	"2021/01"	48	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Feb., 2021"	"2021/02"	57	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Mar., 2021"	"2021/03"	48	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Apr., 2021"	"2021/04"	55	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"May, 2021"	"2021/05"	76	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Jun., 2021"	"2021/06"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Jul., 2021"	"2021/07"	80	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Aug., 2021"	"2021/08"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Sep., 2021"	"2021/09"	64	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Oct., 2021"	"2021/10"	50	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Nov., 2021"	"2021/11"	57	Not Applicable	Not Applicable
	"3 years"	"3"	"2021"	"2021"	"Dec., 2021"	"2021/12"	74	Not Applicable	Not Applicable
	"3 years"	"3"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	56	Not Applicable	Not Applicable
